challengeID,cm1ethrace,cf1ethrace,cm1edu,cf1edu,cm1relf
1,1,1,4,3,1
2,4,1,1,4,3
3,3,3,1,3,1
4,2,2,4,4,2
5,1,1,2,2,3
6,3,3,2,2,2
7,2,3,3,1,2
8,2,2,1,1,3
9,3,3,2,2,1
10,1,1,2,1,2
11,2,2,4,4,3
12,1,1,3,3,1
13,2,2,1,1,1
14,2,2,3,3,1
15,3,3,2,1,1
16,2,2,2,2,3
17,2,2,2,1,2
18,2,2,1,1,2
19,1,1,1,1,3
20,1,1,3,4,1
21,2,2,1,1,2
22,1,1,1,1,1
23,1,1,3,2,2
24,2,2,3,2,2
25,4,1,3,4,2
26,2,2,3,1,3
27,2,2,2,2,2
28,2,2,1,1,1
29,2,2,2,1,3
30,2,2,3,3,1
31,2,2,2,2,2
32,2,2,1,2,2
33,1,1,4,3,1
34,3,1,4,2,3
35,2,2,3,1,3
36,2,1,3,1,6
37,2,2,1,2,1
38,2,2,1,1,2
39,2,3,2,2,2
40,2,2,1,2,3
41,3,3,1,3,1
42,2,2,3,2,3
43,1,2,3,2,3
44,3,4,1,1,5
45,2,2,3,3,5
46,2,2,2,2,2
47,1,1,4,3,1
48,3,3,1,1,2
49,3,3,2,2,2
50,2,2,1,1,4
51,2,2,3,3,1
52,1,1,3,2,1
53,2,2,2,1,4
54,1,1,3,3,2
55,2,2,1,1,2
56,3,3,2,2,4
57,3,1,3,3,2
58,2,2,2,2,2
59,3,3,1,1,2
60,2,2,3,3,2
61,1,1,3,4,2
62,3,3,1,1,2
63,3,3,1,1,2
64,1,1,4,4,1
65,2,2,1,1,6
66,2,2,3,3,3
67,2,2,3,2,2
68,3,3,4,1,6
69,3,3,3,3,2
70,1,1,4,4,1
71,3,4,1,1,4
72,1,1,3,2,2
73,2,2,1,1,2
74,3,3,1,1,2
75,1,1,2,2,2
76,2,2,2,1,2
77,1,3,2,2,2
78,2,2,3,4,1
79,2,2,1,2,3
80,4,1,3,3,2
81,2,2,3,3,3
82,3,3,1,1,2
83,1,1,4,2,1
84,2,2,1,1,3
85,2,2,1,1,5
86,2,2,1,2,4
87,3,3,1,1,1
88,1,1,2,3,2
89,4,4,4,4,1
90,2,1,1,1,7
91,3,3,1,1,2
92,2,2,1,2,4
93,3,3,4,2,1
94,2,2,2,2,1
95,3,2,2,2,3
96,1,1,3,3,1
97,1,3,4,3,1
98,2,2,2,2,2
99,3,3,2,1,3
100,1,2,1,1,2
101,3,3,2,1,3
102,3,3,1,1,3
103,3,3,1,2,1
104,2,2,2,2,4
105,3,3,1,1,2
106,3,3,3,2,1
107,1,3,3,2,1
108,2,2,1,1,3
109,2,2,1,1,5
110,2,2,1,2,3
111,2,2,2,1,3
112,2,2,1,2,2
113,2,2,2,2,3
114,2,2,4,2,3
115,1,1,3,3,1
116,1,1,2,1,1
117,2,2,1,2,2
118,2,2,1,1,2
119,2,2,2,2,3
120,2,2,2,1,1
121,2,2,2,2,2
122,1,1,3,2,2
123,2,2,2,2,2
124,3,3,3,1,2
125,1,2,1,3,3
126,2,2,3,2,3
127,3,3,2,2,3
128,2,2,2,2,5
129,3,3,1,1,2
130,3,3,1,1,2
131,1,1,2,3,1
132,2,2,3,3,2
133,3,3,1,1,2
134,2,2,3,2,2
135,3,3,3,1,6
136,2,2,2,1,4
137,2,2,1,2,2
138,2,2,2,2,3
139,2,2,3,3,3
140,3,3,3,3,1
141,2,2,2,2,3
142,2,2,2,2,3
143,1,1,2,1,2
144,2,2,1,3,5
145,1,1,1,3,3
146,4,4,1,2,2
147,1,4,2,3,2
148,3,3,3,3,3
149,3,3,1,2,3
150,3,3,2,1,3
151,2,2,2,2,3
152,3,3,2,1,2
153,2,2,2,1,3
154,2,2,2,1,3
155,2,2,2,3,2
156,2,2,2,1,3
157,1,1,4,1,1
158,2,2,2,1,5
159,3,3,1,2,3
160,2,2,3,2,3
161,4,4,4,3,1
162,2,2,2,1,4
163,2,2,2,2,3
164,4,4,4,4,1
165,1,2,1,1,3
166,1,2,1,1,5
167,2,2,3,2,1
168,2,2,1,2,4
169,2,2,2,2,2
170,2,2,2,1,4
171,2,2,2,3,4
172,2,2,2,2,3
173,2,2,3,2,4
174,3,2,3,2,3
175,2,2,3,2,1
176,3,3,1,1,3
177,3,3,1,1,3
178,3,3,1,2,4
179,2,2,4,3,3
180,2,2,3,1,2
181,2,2,2,2,3
182,3,1,2,3,4
183,2,2,1,1,3
184,2,2,2,1,2
185,3,3,2,1,1
186,2,2,2,2,3
187,4,4,4,4,1
188,3,3,1,3,2
189,2,2,3,4,2
190,3,4,2,2,3
191,3,3,1,3,2
192,3,3,3,2,3
193,2,2,2,1,1
194,2,2,2,2,5
195,2,2,1,1,2
196,1,1,4,2,1
197,3,3,1,1,4
198,1,1,1,2,1
199,2,2,2,2,3
200,2,2,1,3,2
201,1,1,2,2,1
202,2,2,1,1,3
203,3,3,3,4,2
204,2,2,1,1,2
205,1,1,1,2,2
206,2,2,1,3,2
207,1,1,3,3,1
208,1,1,4,4,2
209,1,3,1,2,2
210,1,3,2,2,2
211,2,2,1,3,2
212,2,2,2,2,4
213,3,3,2,1,1
214,2,2,3,2,3
215,2,2,2,1,2
216,3,3,2,1,1
217,2,2,2,2,5
218,3,3,1,3,2
219,2,2,3,2,1
220,4,1,1,4,1
221,3,2,3,3,2
222,3,3,1,1,2
223,3,3,3,3,2
224,2,2,1,1,3
225,3,2,1,1,6
226,2,2,1,1,5
227,1,1,4,2,1
228,2,2,2,2,3
229,1,2,3,4,2
230,1,1,2,2,1
231,1,1,4,2,1
232,1,1,4,4,1
233,3,3,2,2,4
234,2,2,1,1,2
235,2,2,2,1,3
236,2,2,1,1,3
237,3,3,1,1,2
238,3,3,1,1,2
239,2,2,3,3,1
240,2,2,2,3,1
241,3,3,2,2,2
242,2,2,2,2,2
243,3,3,2,1,2
244,2,3,2,2,2
245,2,2,3,4,1
246,1,1,4,4,1
247,2,1,3,4,2
248,2,2,1,1,2
249,1,1,2,2,1
250,2,2,3,1,3
251,2,2,2,2,2
252,2,2,1,1,3
253,3,3,2,3,6
254,2,2,1,2,3
255,2,2,3,3,1
256,1,2,1,1,3
257,1,1,1,1,1
258,2,2,1,1,4
259,2,2,2,2,1
260,2,2,1,1,4
261,2,2,3,1,2
262,1,1,3,1,2
263,3,3,2,2,2
264,1,1,2,2,2
265,3,3,1,1,3
266,4,4,1,2,1
267,2,2,1,1,2
268,3,3,2,1,6
269,2,2,1,1,1
270,3,3,2,1,2
271,1,1,1,1,6
272,3,3,1,1,3
273,1,1,3,3,1
274,2,2,3,1,5
275,2,2,2,2,1
276,2,2,4,3,1
277,2,2,2,2,3
278,2,2,1,2,6
279,3,2,3,3,1
280,3,3,2,2,3
281,2,2,3,2,2
282,2,2,1,2,3
283,3,3,3,2,4
284,1,1,3,4,2
285,3,3,2,2,2
286,3,3,1,1,3
287,3,3,2,1,6
288,2,2,3,2,3
289,1,1,3,2,2
290,1,3,3,2,1
291,2,2,2,1,2
292,1,1,2,2,2
293,2,1,3,1,3
294,1,1,3,3,2
295,1,1,4,3,1
296,1,1,3,3,1
297,2,2,3,1,3
298,1,1,1,2,3
299,1,1,2,2,2
300,2,3,1,1,3
301,2,2,2,2,2
302,2,2,1,1,3
303,2,2,2,2,2
304,3,3,1,1,2
305,1,1,1,1,5
306,2,2,3,3,2
307,2,3,2,2,2
308,2,2,4,2,3
309,2,2,1,3,3
310,3,3,1,1,2
311,2,2,2,1,4
312,2,2,2,2,2
313,2,2,1,1,4
314,1,1,4,3,1
315,2,2,2,1,3
316,2,2,1,1,1
317,2,2,1,3,2
318,3,3,3,1,3
319,2,2,2,1,4
320,1,1,4,3,1
321,1,1,4,4,1
322,1,2,2,2,2
323,1,1,1,3,2
324,2,2,1,2,2
325,3,3,3,4,2
326,2,2,1,2,1
327,1,1,4,4,1
328,2,2,1,2,3
329,3,3,3,2,3
330,2,2,4,1,3
331,3,3,3,1,1
332,1,1,1,2,2
333,2,2,1,3,3
334,2,2,1,1,3
335,2,2,3,1,2
336,2,2,3,2,3
337,3,3,2,1,1
338,1,1,3,2,2
339,1,2,1,2,2
340,3,3,2,1,2
341,1,1,3,2,1
342,1,2,3,2,2
343,4,4,1,1,2
344,3,3,2,1,1
345,2,1,2,1,2
346,2,2,3,3,3
347,1,1,1,1,1
348,3,3,1,1,1
349,1,1,4,2,1
350,3,3,1,2,2
351,1,1,2,1,2
352,3,3,1,1,2
353,1,1,4,4,1
354,2,2,1,2,3
355,2,1,1,1,2
356,1,1,1,1,2
357,4,4,3,3,2
358,1,2,2,3,1
359,2,2,2,3,1
360,1,1,1,1,5
361,1,1,3,1,2
362,1,1,3,4,1
363,2,2,2,2,1
364,2,2,3,3,2
365,2,2,3,3,3
366,2,2,3,3,3
367,1,1,1,1,2
368,3,3,2,2,2
369,2,2,3,1,2
370,2,2,1,1,3
371,1,1,3,3,6
372,1,1,3,4,1
373,2,2,3,1,3
374,2,2,3,2,2
375,1,1,2,1,2
376,2,2,3,2,3
377,1,1,4,3,1
378,1,1,1,1,7
379,1,1,1,1,2
380,4,4,1,4,1
381,4,4,4,4,1
382,1,1,2,1,3
383,2,2,2,2,1
384,2,2,1,2,2
385,2,2,2,1,3
386,1,1,4,4,1
387,2,2,3,3,3
388,3,3,1,1,3
389,2,2,1,2,5
390,1,1,4,3,2
391,1,2,4,4,2
392,1,1,4,4,1
393,2,2,1,1,3
394,2,2,3,1,3
395,2,2,3,3,2
396,3,3,1,1,2
397,1,1,3,4,1
398,2,2,1,2,2
399,2,2,2,1,2
400,4,1,2,1,2
401,2,2,2,1,4
402,1,1,1,1,2
403,2,2,3,3,3
404,2,2,2,2,5
405,1,3,1,1,2
406,2,2,1,1,3
407,1,1,4,3,1
408,1,1,4,3,1
409,3,1,3,4,1
410,3,3,3,1,1
411,1,1,2,2,2
412,2,2,2,2,3
413,3,3,1,2,2
414,2,2,2,3,4
415,1,4,1,2,3
416,3,3,2,1,3
417,2,2,1,1,3
418,2,2,1,1,2
419,3,3,1,1,2
420,2,2,1,1,3
421,3,3,1,1,3
422,2,2,4,4,3
423,2,2,1,1,4
424,1,1,4,4,1
425,1,1,4,4,1
426,2,2,2,2,1
427,2,2,2,2,3
428,3,3,1,2,4
429,2,2,1,2,3
430,3,3,1,3,1
431,3,3,3,4,2
432,1,1,4,1,1
433,2,2,1,3,6
434,3,3,3,2,2
435,4,2,3,1,3
436,2,2,2,3,4
437,1,1,4,4,1
438,2,2,1,1,3
439,1,1,3,3,1
440,2,2,1,1,2
441,2,2,1,1,3
442,1,1,2,1,3
443,2,3,2,1,2
444,1,1,2,2,1
445,3,3,1,1,5
446,1,1,2,4,2
447,1,1,3,3,4
448,1,1,1,1,1
449,2,2,1,2,4
450,3,3,2,2,3
451,3,3,4,1,5
452,3,3,1,2,2
453,3,3,2,3,5
454,2,2,3,3,5
455,3,3,2,2,2
456,4,1,3,2,1
457,2,2,2,1,2
458,3,3,1,1,2
459,1,2,3,3,3
460,2,2,1,3,3
461,1,1,2,3,1
462,2,2,1,1,2
463,3,3,1,1,3
464,2,2,1,2,3
465,1,2,2,2,2
466,4,3,3,3,1
467,2,2,3,3,6
468,2,2,1,1,2
469,2,2,3,2,3
470,3,3,1,2,2
471,2,1,2,2,2
472,2,2,1,2,2
473,2,2,2,2,2
474,2,2,2,2,2
475,2,2,1,1,3
476,2,2,3,3,3
477,2,2,1,1,3
478,2,2,1,1,3
479,1,1,2,2,2
480,3,3,2,2,2
481,2,2,2,2,6
482,3,3,1,1,3
483,3,3,1,2,2
484,3,3,1,1,2
485,2,2,1,2,5
486,3,3,1,2,4
487,3,3,2,2,2
488,3,2,1,1,3
489,2,2,3,3,3
490,1,1,1,3,1
491,2,1,4,3,2
492,3,1,1,1,7
493,2,2,1,1,2
494,2,2,1,2,3
495,2,2,1,1,2
496,2,2,4,3,2
497,3,3,2,2,2
498,1,3,3,3,1
499,2,2,2,2,3
500,2,2,1,1,4
501,2,2,2,2,2
502,2,2,3,2,3
503,3,3,3,1,3
504,3,3,1,1,2
505,1,1,4,4,1
506,2,2,2,2,2
507,2,2,3,3,1
508,3,3,2,1,3
509,1,1,2,1,2
510,1,1,4,4,1
511,2,2,3,2,3
512,2,2,2,2,3
513,2,2,4,1,4
514,2,2,1,2,4
515,3,3,2,1,2
516,2,2,2,1,2
517,1,2,1,1,6
518,1,1,3,3,2
519,2,2,1,1,3
520,3,3,3,3,1
521,4,4,2,3,1
522,2,2,1,1,3
523,3,3,1,1,4
524,3,3,4,4,1
525,1,1,4,4,1
526,1,1,4,4,1
527,1,1,3,1,6
528,3,3,1,1,6
529,2,2,1,1,3
530,1,4,1,2,1
531,4,1,4,3,2
532,4,1,1,1,2
533,2,3,1,2,4
534,1,1,4,3,1
535,2,2,4,2,1
536,1,1,2,3,2
537,2,2,3,1,3
538,2,2,3,3,1
539,2,2,1,1,3
540,1,1,1,1,2
541,1,1,4,4,1
542,4,4,4,4,1
543,1,1,4,4,1
544,3,3,2,1,1
545,2,2,2,2,5
546,3,3,1,1,3
547,3,3,1,1,2
548,2,2,1,1,1
549,2,2,3,2,3
550,3,3,1,1,2
551,2,2,1,2,2
552,1,1,2,2,4
553,3,3,1,1,2
554,3,2,2,1,2
555,2,2,3,2,3
556,1,2,1,1,3
557,3,3,1,1,3
558,3,3,2,1,5
559,3,3,2,1,3
560,1,1,4,4,1
561,2,2,1,2,3
562,3,3,3,1,3
563,2,2,3,1,3
564,1,1,2,2,3
565,3,3,1,1,2
566,1,1,3,2,2
567,1,1,2,2,2
568,1,1,4,3,1
569,2,2,1,2,3
570,2,2,3,2,2
571,2,2,2,2,4
572,2,2,2,2,3
573,2,2,2,1,3
574,2,2,1,3,3
575,4,2,3,1,3
576,1,3,3,3,2
577,1,1,2,2,2
578,2,2,3,3,1
579,2,2,2,4,1
580,2,2,4,3,3
581,2,2,1,2,1
582,2,2,2,2,1
583,2,2,3,3,4
584,1,1,2,2,1
585,2,2,4,4,1
586,4,1,2,2,3
587,3,3,2,2,2
588,2,2,1,2,2
589,2,2,2,2,3
590,2,2,2,1,3
591,3,3,3,4,2
592,2,2,3,3,3
593,1,1,3,3,1
594,2,2,3,3,3
595,2,3,2,2,6
596,1,1,1,1,2
597,3,3,2,3,2
598,3,3,1,2,1
599,2,2,1,1,1
600,2,2,4,4,4
601,2,2,1,2,5
602,2,2,1,1,3
603,1,1,1,1,7
604,3,3,1,1,2
605,1,1,4,4,1
606,2,2,1,3,4
607,2,3,1,1,3
608,2,2,2,3,3
609,3,3,1,1,2
610,2,2,3,3,2
611,3,2,4,3,1
612,1,3,3,2,6
613,3,2,2,2,2
614,2,2,3,2,2
615,3,3,3,3,2
616,4,3,2,3,1
617,3,1,3,3,2
618,2,2,2,1,5
619,2,2,1,3,2
620,4,1,4,4,1
621,4,2,1,2,4
622,1,1,3,3,1
623,1,1,3,4,5
624,1,1,4,4,1
625,2,2,3,3,3
626,2,2,3,2,3
627,3,3,1,1,1
628,1,1,3,2,4
629,2,1,1,1,3
630,3,3,1,2,3
631,1,1,1,2,2
632,2,2,2,2,2
633,2,2,3,4,1
634,2,2,2,1,1
635,1,1,4,4,1
636,2,2,4,3,1
637,2,2,1,2,2
638,2,2,1,2,2
639,3,3,1,2,4
640,3,3,1,2,2
641,1,1,1,1,4
642,4,1,1,1,3
643,1,1,3,3,1
644,2,2,1,1,3
645,2,2,1,1,3
646,1,1,1,1,4
647,2,2,2,2,1
648,2,2,1,2,3
649,2,2,3,2,3
650,1,1,2,1,1
651,2,2,3,2,1
652,2,2,3,1,5
653,2,2,3,2,3
654,4,1,1,1,4
655,2,2,1,2,3
656,3,3,1,1,2
657,2,2,2,2,2
658,2,2,3,2,2
659,2,2,3,2,3
660,2,2,2,1,4
661,1,1,4,4,1
662,2,1,3,1,7
663,2,2,2,2,2
664,2,2,3,3,2
665,2,2,2,2,5
666,3,3,1,2,2
667,2,2,1,1,3
668,3,3,2,2,3
669,2,2,1,1,3
670,2,2,1,2,2
671,3,1,1,3,2
672,4,1,3,3,2
673,1,1,2,1,5
674,2,3,2,3,2
675,2,2,2,1,3
676,3,3,2,2,3
677,2,2,3,3,3
678,2,2,3,1,2
679,3,3,1,4,3
680,2,2,2,4,4
681,2,1,1,1,7
682,3,3,2,2,2
683,3,3,1,1,2
684,2,2,2,1,3
685,2,2,2,2,2
686,1,1,1,2,5
687,2,2,4,3,1
688,2,2,1,1,3
689,2,2,2,2,3
690,1,1,2,2,1
691,2,2,1,2,3
692,1,1,2,2,1
693,2,4,1,1,1
694,1,1,4,4,1
695,3,3,1,1,6
696,2,2,4,4,1
697,1,3,1,1,2
698,3,3,2,1,2
699,1,1,2,2,5
700,1,1,4,4,1
701,1,1,3,1,2
702,1,1,4,3,1
703,3,3,1,1,2
704,2,1,4,3,4
705,1,1,1,2,1
706,3,3,1,1,3
707,3,3,1,1,3
708,1,1,3,3,1
709,1,1,3,3,1
710,2,1,1,1,3
711,2,2,1,2,3
712,2,2,3,1,2
713,3,3,1,1,2
714,2,2,3,2,2
715,2,2,2,2,3
716,2,2,1,2,3
717,2,2,2,2,3
718,3,3,3,2,2
719,2,2,2,1,1
720,2,2,2,4,2
721,2,2,1,2,2
722,2,2,1,2,2
723,3,3,1,2,2
724,2,2,2,1,5
725,2,2,2,3,2
726,2,2,2,4,3
727,1,1,2,2,1
728,2,2,2,2,2
729,2,2,1,1,3
730,3,3,1,1,2
731,1,2,3,1,5
732,2,2,3,3,1
733,2,2,2,1,2
734,2,2,3,2,5
735,2,2,1,2,3
736,2,2,2,2,3
737,2,2,1,4,1
738,3,3,1,3,2
739,2,2,4,4,1
740,2,2,3,3,3
741,2,2,1,2,3
742,3,3,3,1,2
743,2,2,3,2,1
744,3,3,2,1,2
745,2,1,3,3,2
746,1,1,4,4,1
747,2,2,3,2,3
748,2,1,2,2,3
749,4,3,3,3,2
750,2,2,1,2,2
751,2,2,2,2,4
752,2,2,1,2,3
753,2,2,3,3,2
754,3,3,1,1,1
755,2,2,2,1,1
756,2,2,2,1,4
757,1,2,2,3,2
758,1,1,2,2,1
759,1,1,3,4,1
760,2,2,2,2,3
761,2,2,1,2,1
762,1,3,3,3,2
763,1,1,3,3,1
764,3,3,2,2,1
765,1,1,4,4,1
766,2,2,2,2,3
767,3,3,2,2,2
768,4,4,4,4,1
769,1,1,3,1,2
770,1,1,2,2,2
771,1,1,2,2,1
772,2,2,2,2,3
773,2,2,2,3,3
774,3,2,2,2,3
775,2,2,2,3,1
776,2,2,3,3,1
777,2,2,1,3,5
778,2,3,2,2,3
779,2,2,1,2,3
780,2,4,1,1,2
781,2,2,2,1,3
782,2,2,3,3,1
783,1,1,1,1,2
784,1,2,3,2,3
785,2,2,2,2,3
786,1,3,3,2,1
787,2,2,2,1,3
788,3,1,2,1,6
789,3,3,1,1,3
790,3,2,2,3,3
791,2,3,1,1,4
792,2,2,1,1,2
793,3,3,1,3,3
794,2,2,3,3,1
795,1,1,3,2,2
796,2,2,3,2,4
797,2,2,3,2,3
798,2,2,1,2,5
799,2,2,2,3,1
800,2,2,1,2,4
801,3,2,3,3,2
802,3,3,1,1,6
803,2,2,3,1,4
804,3,3,2,2,2
805,2,2,1,2,2
806,4,1,2,1,2
807,2,4,2,2,3
808,2,2,4,3,2
809,2,2,2,3,5
810,2,2,3,4,2
811,2,2,2,3,3
812,3,1,4,2,1
813,2,2,1,2,4
814,1,1,4,4,1
815,1,1,2,2,3
816,2,2,1,1,2
817,1,1,2,1,7
818,2,2,3,2,5
819,3,3,1,1,2
820,2,2,3,3,2
821,3,3,4,4,1
822,1,2,3,3,1
823,2,2,1,4,6
824,2,2,1,1,4
825,2,2,3,3,1
826,1,1,3,3,3
827,3,3,3,3,3
828,2,2,3,1,2
829,3,3,2,2,3
830,3,3,3,1,2
831,2,2,3,1,3
832,2,2,1,1,2
833,4,4,3,3,3
834,2,2,3,4,1
835,2,2,4,4,1
836,3,3,1,1,2
837,2,2,2,4,2
838,1,1,3,3,1
839,2,2,3,3,3
840,2,2,3,3,3
841,4,4,4,4,1
842,3,1,3,1,7
843,2,3,1,2,3
844,1,1,3,4,3
845,3,3,2,2,5
846,1,1,2,2,3
847,3,3,1,1,2
848,2,2,2,2,3
849,2,2,3,3,3
850,2,2,1,2,3
851,2,2,2,2,3
852,2,2,3,3,1
853,2,2,2,2,2
854,1,1,3,2,1
855,2,2,3,3,3
856,2,2,3,3,1
857,2,2,1,1,3
858,1,2,2,2,2
859,2,2,2,2,3
860,3,1,3,2,3
861,2,2,2,2,3
862,2,1,2,2,3
863,1,1,2,2,1
864,2,2,2,3,2
865,2,2,2,2,2
866,2,2,3,1,2
867,2,2,2,2,5
868,2,2,3,3,3
869,1,1,2,2,5
870,2,2,2,2,4
871,4,1,1,2,2
872,2,2,3,1,2
873,1,1,1,2,2
874,3,3,3,2,2
875,2,2,3,1,2
876,2,2,2,1,3
877,1,3,2,2,3
878,3,3,1,1,1
879,2,2,1,1,3
880,2,2,1,1,2
881,2,2,3,1,2
882,2,2,3,2,2
883,3,3,2,1,1
884,4,4,1,1,4
885,2,2,2,2,3
886,2,2,1,1,2
887,1,1,2,2,2
888,1,1,4,4,1
889,3,3,1,2,3
890,1,1,3,3,2
891,3,3,1,1,3
892,3,2,2,1,3
893,2,2,1,2,4
894,3,3,1,1,2
